""	"PC9.DMSO1"	"PC9.DMSO2"	"PC9.DMSO3"	"PC9.osiacute1"	"PC9.osiacute2"	"PC9.osiacute3"	"PC9.osiDTP1"	"PC9.osiDTP2"	"PC9.osiDTP3"
"AC017083.3"	3.13884621822683	2.45051424557654	0.80969001600627	2.46408215697172	1.52161294518487e-06	1.33879363562757	0.289787810281016	0	1.78805706536862
"AC018512.1"	0	0	0.0550377050147203	0	0	0.0533067574236102	0.0854043310163108	0.169981203034733	0
"AC018523.2"	0.235815904944826	0.90419057881536	0.493783105530643	0.329468728276485	0.375011127237649	0.29855608287842	0.916011830137952	0.301665505561345	0.441412339766175
"AC018630.2"	1.8574420560481	1.82936093603592	1.66773755727619	1.73498142975927	1.47153732764699	0.937037610689292	2.10311165888551	1.82348095650146	1.63307571304379
"AC018709.1"	0	0	0	0	0	0	0	0	0
"AC018755.2"	0	0	0	0	0	0	0	0	0
"AC020636.2"	0	0	0	0	0	0	0	0	0
"AC020909.1"	0.0831415094522449	0	0.0546297820276803	0	0.131874935910971	0	0.0746056328257648	0	0
"AC020922.1"	0	0.0607138537038583	0	0.0249123159944328	0	0.0373846360703831	0.0566765170925059	0.131821273591291	0.0818373184776418
"AC020929.1"	1.14354805261658	0.962139335943908	0.711124848145121	2.00443393922709	1.64243070693624	2.81772026720185	2.52375577688893	2.76664221205901	1.70676018171794
"AC021066.1"	0.633600442269267	0.99671455232651	0.383805795705021	2.01864288571596	2.12697537038318	3.24773627553303	3.32305422827635	2.44053283088593	2.61240672188292
"AC021092.2"	2.86863746600054	3.37065142169985	3.21099652670915	5.91425489505813	6.81524494983546	5.11729563698654	4.36084652822869	5.85069959049542	6.31973224306132
"AC021660.3"	0	0.0486845434756328	0	0	0	0	0	0	0
"AC022137.3"	0.631083760239598	1.05856192299713	1.0402938912869	1.3712308195811	1.74491126412069	1.24136487428736	0.983802412470268	1.02311802470449	1.27369484258982
"AC022335.1"	0	0.0356196073680496	0	0	0	0.0250232287059662	0	0	0
"AC022384.1"	10.2027539453745	10.7272064468373	10.2753133520384	9.17152523518374	7.31990742381963	8.38220783127758	9.80253212881096	9.495584324393	11.0716096458428
